Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
75.45186996459961	0	-775.1389	64.42225	-625.28735	-953.787	151.0	0.0	30049	30049
114.73645997047424	1	-256.6569	32.895966	-176.28168	-355.8717	151.0	0.0	30049	60098
151.31833910942078	2	-236.71117	50.32859	-110.839325	-421.8229	151.0	0.0	30049	90147
206.70193195343018	3	-212.82217	42.664925	-93.11498	-363.2848	151.0	0.0	30049	120196
276.02727794647217	4	-141.81433	38.706333	-49.34854	-298.1421	151.0	0.0	30049	150245
347.5115098953247	5	-99.220535	34.85156	-16.205053	-208.04202	151.0	0.0	30049	180294
425.7606158256531	6	-73.91043	25.086168	-7.6611977	-165.2139	151.0	0.0	30049	210343
516.5466837882996	7	-63.122597	22.416603	-0.4133091	-147.48428	151.0	0.0	30049	240392
639.4347839355469	8	-57.886982	22.308487	-5.3846254	-128.51108	151.0	0.0	30049	270441
736.6936597824097	9	-56.288227	23.660978	17.988672	-122.16605	151.0	0.0	30049	300490
819.8220059871674	10	-50.090565	27.159702	13.315811	-151.78264	151.0	0.0	30049	330539
909.1945910453796	11	-45.387375	23.550705	30.372896	-120.30472	151.0	0.0	30049	360588
1012.0206158161163	12	-45.172024	25.613218	21.998337	-139.01053	151.0	0.0	30049	390637
1128.8786571025848	13	-35.7375	21.903526	18.14038	-95.40291	151.0	0.0	30049	420686
1214.7490479946136	14	-37.593304	21.211401	19.288048	-87.13739	151.0	0.0	30049	450735
1289.0461139678955	15	-33.46159	20.990381	46.802223	-97.394455	151.0	0.0	30049	480784
1361.4033839702606	16	-31.548565	21.775196	26.083878	-126.822716	151.0	0.0	30049	510833
1435.2301270961761	17	-26.48182	22.319046	45.743946	-109.64603	151.0	0.0	30049	540882
1504.187208890915	18	-27.820219	20.572466	34.221516	-100.26985	151.0	0.0	30049	570931
1571.3964948654175	19	-22.371952	22.999939	27.631598	-106.97366	151.0	0.0	30049	600980
1641.7251830101013	20	-20.822731	19.522694	17.91653	-99.32201	151.0	0.0	30049	631029
1710.7832040786743	21	-20.19734	19.011639	28.111876	-77.81427	151.0	0.0	30049	661078
1782.0037579536438	22	-15.550247	16.464499	44.907227	-63.916656	151.0	0.0	30049	691127
1857.3010408878326	23	-16.484756	17.846066	36.547745	-66.14152	151.0	0.0	30049	721176
1938.272677898407	24	-11.359085	15.87413	34.899918	-77.373695	151.0	0.0	30049	751225
2008.2631680965424	25	-9.521085	16.11566	30.690891	-78.12291	151.0	0.0	30049	781274
2087.6604800224304	26	-6.853974	15.655071	31.181541	-65.62213	151.0	0.0	30049	811323
2180.307625055313	27	-7.5970807	17.190863	27.563936	-91.97652	151.0	0.0	30049	841372
2276.5798819065094	28	-6.719495	17.236856	34.197327	-70.268265	151.0	0.0	30049	871421
2351.0034811496735	29	-3.1799588	14.090586	41.915127	-54.105213	151.0	0.0	30049	901470
2447.6621530056	30	-2.5253367	13.484796	28.06063	-69.04212	151.0	0.0	30049	931519
2520.5932528972626	31	-1.6471933	15.015269	46.924458	-46.791176	151.0	0.0	30049	961568
2588.1865730285645	32	-4.352941	15.728082	30.923903	-59.758026	151.0	0.0	30049	991617
2656.086835861206	33	-6.1825223	16.72514	40.37279	-52.291405	151.0	0.0	30049	1021666
2723.9504890441895	34	-6.1103125	17.957565	47.63423	-59.99128	151.0	0.0	30049	1051715
2816.3864891529083	35	-2.2285645	14.868827	32.649906	-41.35942	151.0	0.0	30049	1081764
2894.6063339710236	36	1.7608732	14.844604	34.64611	-57.501106	151.0	0.0	30049	1111813
2962.04394698143	37	3.4841712	12.923934	50.22262	-33.411247	151.0	0.0	30049	1141862
3031.566500902176	38	3.0950155	12.505626	36.434593	-44.200924	151.0	0.0	30049	1171911
3103.342211008072	39	1.8372738	12.266962	45.818382	-27.155365	151.0	0.0	30049	1201960
3208.3131849765778	40	3.4876568	11.63901	29.990646	-31.72941	151.0	0.0	30049	1232009
3315.7816047668457	41	1.030058	11.455703	25.485546	-38.4541	151.0	0.0	30049	1262058
3409.0854630470276	42	1.3963186	11.584451	31.358025	-37.20852	151.0	0.0	30049	1292107
3509.656275033951	43	2.2517102	10.120327	31.55967	-24.29317	151.0	0.0	30049	1322156
3610.4749598503113	44	5.5500097	9.884644	33.898956	-22.529144	151.0	0.0	30049	1352205
3723.7260138988495	45	6.375978	9.364195	32.028667	-20.98311	151.0	0.0	30049	1382254
3816.141721725464	46	9.423645	9.815274	35.643684	-19.676838	151.0	0.0	30049	1412303
3891.566766023636	47	10.451703	10.356098	33.396324	-15.759807	151.0	0.0	30049	1442352
3985.2960288524628	48	14.946341	9.589769	45.867447	-8.06242	151.0	0.0	30049	1472401
4088.8034019470215	49	17.116905	10.364942	41.987473	-7.780214	151.0	0.0	30049	1502450
4185.551493883133	50	20.510878	10.628312	49.349068	-10.27552	151.0	0.0	30049	1532499
4256.40832901001	51	25.709904	10.872599	49.567654	-1.8905139	151.0	0.0	30049	1562548
4320.717099905014	52	30.251507	10.5306225	57.680016	1.346477	151.0	0.0	30049	1592597
4384.400563955307	53	31.984959	12.924799	63.41974	-17.421688	151.0	0.0	30049	1622646
4450.7256689071655	54	38.62238	11.299504	72.969315	-9.821706	151.0	0.0	30049	1652695
4520.6862099170685	55	46.90421	12.956407	80.096375	-0.44833183	151.0	0.0	30049	1682744
4604.812350034714	56	60.214535	14.898733	92.16289	-12.521711	151.0	0.0	30049	1712793
4680.853838920593	57	67.37189	17.381998	110.73286	-13.879573	151.0	0.0	30049	1742842
4753.796922922134	58	71.44026	18.153147	108.9501	-15.888894	151.0	0.0	30049	1772891
4825.629846096039	59	70.780876	22.386398	111.53485	-8.658949	151.0	0.0	30049	1802940
4898.562978982925	60	71.59002	25.264381	112.30925	-18.52964	151.0	0.0	30049	1832989
4972.143710851669	61	75.30675	26.236952	118.40822	-12.494253	151.0	0.0	30049	1863038
5056.227313995361	62	82.246254	21.991314	125.42686	-9.9618635	151.0	0.0	30049	1893087
5126.048964738846	63	86.1858	18.031265	128.58379	-6.4282923	151.0	0.0	30049	1923136
5196.744083881378	64	88.189285	24.387007	122.42508	-20.259567	151.0	0.0	30049	1953185
5269.5322070121765	65	97.904526	25.242245	143.1077	-22.25425	151.0	0.0	30049	1983234
5336.75723195076	66	101.86986	26.907692	140.4691	-29.012291	151.0	0.0	30049	2013283
5401.109519958496	67	104.769875	29.20873	144.79135	-19.22791	151.0	0.0	30049	2043332
5465.908478021622	68	104.208405	24.307713	149.25284	-21.875355	151.0	0.0	30049	2073381
5534.858734130859	69	92.97804	20.352674	128.56534	-25.23643	151.0	0.0	30049	2103430
5609.289116859436	70	78.37564	21.194572	116.24273	-22.594868	151.0	0.0	30049	2133479
5685.4971578121185	71	80.6175	15.196583	108.1286	-6.2912903	151.0	0.0	30049	2163528
5755.076704978943	72	85.20855	14.967936	117.147736	26.570013	151.0	0.0	30049	2193577
5827.11660695076	73	97.729385	19.588797	134.6936	-15.831063	151.0	0.0	30049	2223626
5899.240303039551	74	96.302826	37.08432	140.15988	-26.6876	151.0	0.0	30049	2253675
5964.12961101532	75	86.237076	47.975914	136.22993	-20.535538	151.0	0.0	30049	2283724
6031.6922519207	76	98.453926	39.989784	146.44327	-22.250816	151.0	0.0	30049	2313773
6114.041218042374	77	97.96258	29.575449	144.08844	-23.09839	151.0	0.0	30049	2343822
6194.997116804123	78	75.52545	26.185507	128.47203	-43.210426	151.0	0.0	30049	2373871
6267.670711994171	79	72.69667	22.591936	120.69362	-14.885046	151.0	0.0	30049	2403920
6331.26554608345	80	77.90619	20.412798	119.14512	-63.929176	151.0	0.0	30049	2433969
6401.355225801468	81	97.82238	11.02528	125.943634	69.686646	151.0	0.0	30049	2464018
6468.033161878586	82	114.32522	10.288236	137.44531	88.39058	151.0	0.0	30049	2494067
6539.388010025024	83	116.797264	24.094606	156.18465	-14.1230345	151.0	0.0	30049	2524116
6603.5925760269165	84	113.68644	34.102222	158.01439	-16.741585	151.0	0.0	30049	2554165
6685.407528877258	85	121.50559	23.811085	168.71844	-1.1962085	151.0	0.0	30049	2584214
